F1,Name,Abb,Book,Aggressions,Agg_freq,Paragraphs,Mention_freq,Agg_likelihood,Mentions,None (Non-Human),Evil,House,Stupefy,Expelliarmus,Crucio,Avada Kedavra,Impedimenta,Gender,subjective,objective,possessive,BookNoYear,RDBritish,RDAmerican,CopiesSold,Deaths,AvgRating,Series,BookNN,present,past
0,Harry Potter,harr,The Sorcerer's Stone (1997),3,0.002793,3015,0.356219,8.42,1074,0,No,Gryffindor,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
1,Hermione Granger,herm,The Sorcerer's Stone (1997),3,0.012048,3015,0.082587,36.33,249,0,No,Gryffindor,0,0,0,0,0,F,she,her,her,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
2,Voldemort,vold,The Sorcerer's Stone (1997),0,0,3015,0.010614,0,32,0,Yes,Slytherin,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
3,Ron Weasley,ronw,The Sorcerer's Stone (1997),2,0.003899,3015,0.170149,11.75,513,0,No,Gryffindor,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
4,Severus Snape,snap,The Sorcerer's Stone (1997),0,0,3015,0.049088,0,148,0,No,Slytherin,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
5,Albus Dumbledore,albu,The Sorcerer's Stone (1997),0,0,3015,0.04743,0,143,0,No,Gryffindor,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
6,Draco Malfoy,drac,The Sorcerer's Stone (1997),1,0.090909,3015,0.003648,274.09,11,0,Yes,Slytherin,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
7,Neville Longbottom,nevi,The Sorcerer's Stone (1997),0,0,3015,0.033499,0,101,0,No,Gryffindor,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
8,Minerva McGonagall,mcgo,The Sorcerer's Stone (1997),0,0,3015,0.031177,0,94,0,No,Gryffindor,0,0,0,0,0,F,she,her,her,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
9,Vincent Crabbe,crab,The Sorcerer's Stone (1997),0,0,3015,0.006965,0,21,0,Yes,Slytherin,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
10,Fred Weasley,fred,The Sorcerer's Stone (1997),0,0,3015,0.011277,0,34,0,No,Gryffindor,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
11,George Weasley,geor,The Sorcerer's Stone (1997),0,0,3015,0.009619,0,29,0,No,Gryffindor,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
12,Quirinus Quirrell,quir,The Sorcerer's Stone (1997),5,0.058824,3015,0.028192,177.35,85,0,Yes,Ravenclaw,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
13,Filius Flitwick,flit,The Sorcerer's Stone (1997),0,0,3015,0.005638,0,17,0,No,Ravenclaw,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
14,Rubeus Hagrid,hagr,The Sorcerer's Stone (1997),1,0.00304,3015,0.109121,9.16,329,0,No,Gryffindor,0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
15,Cho Chang,choc,The Sorcerer's Stone (1997),0,0,3015,0.036484,0,110,0,No,Ravenclaw,0,0,0,0,0,F,she,her,her,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
16,Peeves,peev,The Sorcerer's Stone (1997),0,0,3015,0.010282,0,31,1,No,None (Non-Human),0,0,0,0,0,M,he,him,his,Harry Potter and the Sorcerer's Stone,6/26/1997,9/1/1998,107,3,4.43,1,The Sorcerer's Stone ('97),is,was
